NomSite,Sigle,Superficie,Vegetation,NbreDate,Date d'echantillonnage,Prof1,Prof2,Latitude,Longitude,Diagramme complet,Charbons et PAF
LeRoy (près du Lac),LR1,2,Ta,4,,120,130,583500,751500,c,C 
LeRoy (près du Lac),LR3,,Ta,3,,102,112,583442,751442,c,
LG-4-83-01 M,LG401M,3,PC,0,27-04-1983,,,540209,725222,p,
LG-4-83-01 P,LG48301P,3,PC,4,26-04-1983,155,160,540209.07,725222.16,c,c
LG-4-83-02,LG402,0.8,PC,0,26-04-1983,0,0,540346,725508,b,
LG-4-83-03,LG48303,0.6,PC,1,26-04-1983,300,305,540306,725732,b,
LG-4-83-05,LG48305,1, PC,4,27-04-1983,178,183,540348.01,725455.01,c,c
LG-4-83-06 M,LG48306M,7.1, PC,5,28-04-1983,495,500,540430.02,725631.16,c,
LG-4-83-06 M',LG406MP,7.1,PC,0,01-05-1983,0,0,540430,725631,p,
LG-4-83-06 P,LG48306P,7.1, PC,7,28-04-1983,327,332,540430.01,725631.01,c,c
LG-4-83-07,LG407,2.5, PC,0,28-04-1983,0,0,540437,725945,b,
LG-4-83-08,LG48308,4, PC,1,28-04-1983,109,114,540649,724214,b,
LG-4-83-09,LG48309,5.3,PC,5,29-04-1983,210,215,545352.42,724714.09,c,c
LG-4-83-10,LG48310,2,PC,1,29-04-1983,268,273,542901,725626,b,
LG-4-83-11,LG48311,1.9,PC,1,29-04-1983,273,278,542634,725649,b,
LG-4-83-12,LG48312,3.75,PC,5,30-04-1983,257.5,262.5,525043.13,731752.63,c,c
LG-4-83-13,LG48313,4.4,"PC, Pin gris",1,30-04-1983,250,255,530330,732423,b,
LG-4-83-14,LG48314,6.6,PC,1,30-04-1983,250,255,531733.18,733258.14,b,c
Livingston Pond,LIVINGST,0.8,SBj,0,,,,440637,735918,c,
Lotbinière,LOTBINIE,471,ET,0,14-07-1969,0,0,463621,714630,c,
Louis (lac),LOUIS,9.8,SBj,3,,,,471700.64,790653.81,c,
Loutre (Lac de la),LOUT,4,SEpn,2,,300,310,485357,652033,i,
Loutre (Lac de la),LOUTRE,4,SEpN,1,27-03-1994,330,335,485357,652033,b,
Mac Alpine Lake,Mac,,,0,,,,663549.91,1025008.94,,
Madeleine (Lac),MADE,8.29,SBb,4,20-07-1988,90,100,474023.24,704308.93,c,c
Main (Lac ˆ la),MAIN,9.62,"""SBb",6,20-07-1988,149,160,474200.19,703720.51,c,c
Malbaie (Tourbière),MAL,120,SEpn,2,10-08-1969,190,200,473549,705833,c,
Malbaie (Tourbière),MAL1,120,SEpn,0,17-07-1994,,,473612.83,705834.63,c,
Malbaie (Tourbière),MAL2,120,SEpn,5,17-07-1994,235,240,473559.27,705824.76,c,paf
Malbaie (Tourbière),MAL3,120,SEpn,4,,210,215,473550.11,705851.09,c,
Manitou (Lac),SAV1,0.7,EBj,3,,820,830,460328,742801,c,
Marchand Bog,March,,,0,,,,462500,724300,,
Marcotte (lac),MARC,3.8,SBb,5,,297,304,470316.86,712352.23,c,c
Marie,MARIE,2,Sbb,0,10-04-1997,,,483800,783200,,
Marie,MARIE-S,2,Sbb,0,10-04-1997,,,483800,783200,,
Martini,MART,2,SBj/SBb,5,,450,465,472823.38,724552.9,c,c
Marymac Lake,MARYM,0.3,TF,1,,304,335,570000,683300,c,
Matamek (lac),MATAMEK,1.3,PN,4,,0,0,502010,655500,c,
Mc Dougall Pond,MCD,40,SEpb/SBj,4,,470,480,465953.59,602805.77,c,
McLaren (Lac),MCLARS,14.18,SBb,1,19-06-1996,465,475,484533.84,644406.61,,c p
Melville Sound,MelvilleS,,,0,,,,681100,1061700,,
Mer Bleue,MerBleue,,,0,,,,452300,753000,,
Mer Bleue,MERBL,,EC,1,,,,452400,753000,c,
Mer Bleue (Tourbière de),MB300,2500,EC,0,19-07-1999,,,452400,753000,,
Mer Bleue (Tourbière de),MB775,2500,EC,1,19-07-1999,,,452400,753000,c,
Mer Bleue (Tourbière de),MB930,2500,EC,9,10-12-1998,,,452437,753102,c,paf
Merchère (tourbière du lac),J791,,TF,3,,150,,580458,701001,c,
Mimi (lac),MIMI,10,SBb,6,10-10-1971,500,515,472951.55,702227.99,c,
Mirabel (A_roport),MIR,,EC,0,27-10-1973,0,0,454058,740401,c,
Mirabel (Tourbière de),MIR1,200,EC,4,16-11-1998,408,410,454109.04,740245.35,c,paf
Mirabel (Tourbière de),MIR2,200,EC,1,19-10-1999,,,454104.26,740223.31,c,paf
Mirabel (Tourbière de),MIR3,200,EC,2,18-06-2000,,,454102.83,740306.32,c,paf
Mirabel (Tourbière de),MIR4,200,EC,2,26-07-2000,,,454116.16,740301.74,c,paf
Mirabel (Tourbière de),MIR5,200,EC,2,26-06-2000,,,454125.09,740246.38,c,paf
Mirabel (Tourbière de),MIR6,200,EC,3,26-06-2000,,,454119.52,740225.27,c,paf
Mirabel (Tourbière de),MIR7,200,EC,2,26-06-2000,,,454116.12,740208.91,c,paf
Mont-Tremblant,Trembl,,,0,,,,461500,743400,,
Montagnais,MONTAGNA,10,SBb,1,10-07-1969,410,420,475428,711030,c,
Montagne Ronde (Lac de la),MORO,3.5,SBj,7,29-07-1991,455,460,481914.03,683350.82,c,c
Moraine Lake,MORAINE,,PC,1,,,,582200,633300,c,
Moraine Lake,MORAINL,45,PN/SEpN,6,,170,175,521600,580300,c,
Mud Lake,Mud,,,0,,,,,,,
Nain Pond,NAIN,,TF,8,,217,225,563200,614900,c,
Nantais,NANTAIS,13,T,1,04-08-1990,,,740933,610615,i,
Nantel,Nantel,,,0,,,,0,742400,,
Nastapoca (Rivière),NAST1,,T,3,,91,103,565300,762400,p,
Nastapoca (Rivière),NAST2,,T,3,,147,153,565300,762400,p,
