Var_,VarCode,VarName
1295,,Alnus fruticosa
1299,Aln.g,Alnus glutinosa
1300,Aln.h,Alnus hirsuta
344,Aln.i,Alnus incana
971,Aln.h-t,Alnus rhombifolia-type
861,Aln.r,Alnus rubra
264,Aln.r-t,Alnus rubra-type
343,,Alnus rugosa
342,,Alnus rugosa-type
3512,Aln.s,Alnus serrulata
860,,Alnus sinuata
972,,Alnus sinuata-type
15,Aln.ud,Alnus undiff.
353,Aln.v,Alnus viridis
3606,Aln.v.c,Alnus viridis subsp. crispa
3607,Aln.vc-t,Alnus viridis subsp. crispa-type
3683,Aln.v.f,Alnus viridis subsp. fruticosa
3604,Aln.v.s,Alnus viridis subsp. sinuata
3605,Aln.vs-t,Alnus viridis subsp. sinuata-type
14,Aln.v-t,Alnus viridis-type
3292,Aho,Alphitonia
2974,Aso,Alsophila
1823,Aso.cf.e,Alsophila cf. A. elegans
3127,Aso.s,Alsophila setosa
1763,Als,Alstroemeria
1877,Alt,Alternanthera
1861,Alt.II,Alternanthera (type II)
2587,Alt.p,Alternanthera philoxeroides
1711,Alt-t,Alternanthera-type
3220,Amn,Amanoa
1355,Amaae,Amaranthaceae
2004,Amaae.ud,Amaranthaceae undiff.
3501,Ama.a,Amaranthus australis
401,Ama.r-t,Amaranthus retroflexus-type
1824,Amr,Amaryllis
3507,Amb.a,Ambrosia artemisiifolia
2612,Am/Iv,Ambrosia/Iva
16,Amb-t,Ambrosia-type
558,Ame,Amelanchier
354,Ame-t,Amelanchier-type
402,Amo,Amorpha
2215,Amo.c,Amorpha canescens
2604,Amo.f,Amorpha fruticosa
17,Amo-t,Amorpha-type
2749,Apa,Amperea
559,Amp,Amphitrema
1188,Amp.c,Amphitrema congolense
560,Amp.f,Amphitrema flavum
1223,Amp.ud,Amphitrema undiff.
561,Amp.w,Amphitrema wrightianum
2806,Amy,Amyema
347,Anaae,Anacardiaceae
18,Anaae.ud,Anacardiaceae undiff.
226,Anaae-t,Anacardiaceae-type
1239,Anaae-tu,Anacardiaceae-type undiff.
2007,Ana,Anacardium
1712,Ana-t,Anacardium-type
2481,Agl,Anagallis
1878,Ada-t,Andira-type
2055,Add,Andradea
562,And,Andromeda
563,And.g,Andromeda glaucophylla
564,And.p,Andromeda polyfolia
3534,Apg,Andropogon
1154,Adr,Androsace
1953,Anm,Anemia
1142,Ane,Anemone
403,Ane.c-t,Anemone canadensis-type
406,Ane.q-t,Anemone quinquefolia-type
1161,Ane-t,Anemone-type
2807,Ang-t,Angophora-type
3293,Annae,Annonaceae
3438,Ate-t,Anthemis-type
1344,Ant,Anthoceros
1801,Ant.l,Anthoceros laevis
1575,,Anthoceros punctatus
1802,Antae,Anthocerotaceae
2330,Antes,Anthocerotales
2327,Antes.1,Anthocerotales type 1
2328,Antes.2,Anthocerotales type 2
2329,Antes.3,Anthocerotales type 3
2361,Anc,Anthocleista
3221,Ads,Anthodiscus
2484,Atm,Anthospermum
3222,Atu,Anthurium
3294,Anh,Antirhea
3295,,Antirrhoea
1713,Ape,Apeiba
